"","Country","GDPPC","IDV","IND","LTO","MAS","PDI","UAI","GDPPC_norm"
"Albania","Albania",11900,20,15,61,80,90,70,10.6150793650794
"Angola","Angola",6800,18,83,15,20,83,60,5.55555555555556
"Argentina","Argentina",20200,46,62,20,56,49,86,18.8492063492063
"Australia","Australia",48800,90,71,21,61,36,51,47.2222222222222
"Austria","Austria",47900,55,63,60,79,11,70,46.3293650793651
"Bangladesh","Bangladesh",3900,20,20,47,55,80,60,2.67857142857143
"Belgium","Belgium",44900,75,57,82,54,65,94,43.3531746031746
"Brazil","Brazil",15200,38,59,44,49,69,76,13.8888888888889
"Bulgaria","Bulgaria",20100,30,16,69,40,70,85,18.75
"Burkina Faso","Burkina Faso",1800,15,18,27,50,70,55,0.595238095238095
"Canada","Canada",46200,80,68,36,52,39,48,44.6428571428571
"Cape Verde","Cape Verde",6700,20,83,12,15,75,40,5.45634920634921
"Chile","Chile",24000,23,68,31,28,63,86,22.6190476190476
"China","China",15400,20,24,87,66,80,30,14.0873015873016
"Colombia","Colombia",14200,13,83,13,64,67,80,12.8968253968254
"Croatia","Croatia",22400,33,33,58,40,73,80,21.031746031746
"Czech Republic","Czech Republic",33200,58,29,70,57,57,74,31.7460317460317
"Denmark","Denmark",46600,74,70,35,16,18,23,45.0396825396825
"Dominican Republic","Dominican Republic",15900,30,54,13,65,65,45,14.5833333333333
"Egypt","Egypt",12100,25,4,7,45,70,80,10.8134920634921
"El Salvador","El Salvador",8900,19,89,20,40,66,94,7.63888888888889
"Estonia","Estonia",29500,60,16,82,30,40,60,28.0753968253968
"Finland","Finland",41800,63,57,38,26,33,59,40.2777777777778
"France","France",42400,71,48,63,43,68,86,40.8730158730159
"Germany","Germany",48200,67,40,83,66,35,65,46.6269841269841
"Ghana","Ghana",4400,15,72,4,40,80,65,3.17460317460317
"Greece","Greece",26800,35,50,45,57,60,100,25.3968253968254
"Hong Kong","Hong Kong",58100,25,17,61,57,68,29,56.4484126984127
"Hungary","Hungary",27200,80,31,58,88,46,82,25.7936507936508
"Iceland","Iceland",48100,60,67,28,10,30,50,46.5277777777778
"India","India",6700,48,26,51,56,77,40,5.45634920634921
"Indonesia","Indonesia",11700,14,38,62,46,78,48,10.4166666666667
"Iran","Iran",18100,41,40,14,43,58,59,16.765873015873
"Iraq","Iraq",16500,30,17,25,70,95,85,15.1785714285714
"Ireland","Ireland",69400,70,65,24,68,28,35,67.6587301587302
"Italy","Italy",36300,76,30,61,70,50,75,34.8214285714286
"Japan","Japan",38900,46,42,88,95,54,92,37.4007936507937
"Jordan","Jordan",11100,30,43,16,45,70,65,9.82142857142857
"Latvia","Latvia",25700,70,13,69,9,44,63,24.3055555555556
"Lebanon","Lebanon",18500,40,25,14,65,75,50,17.1626984126984
"Libya","Libya",14200,38,34,23,52,80,68,12.8968253968254
"Lithuania","Lithuania",29900,60,16,82,19,42,65,28.4722222222222
"Luxembourg","Luxembourg",102000,60,56,64,50,40,70,100
"Malaysia","Malaysia",27200,26,57,41,50,100,36,25.7936507936508
"Malta","Malta",37900,59,66,47,47,56,96,36.4087301587302
"Mexico","Mexico",18900,30,97,24,69,81,82,17.5595238095238
"Morocco","Morocco",8200,46,25,14,53,70,68,6.94444444444444
"Mozambique","Mozambique",1200,15,80,11,38,85,44,0
"Netherlands","Netherlands",50800,80,68,67,14,38,53,49.2063492063492
"New Zealand","New Zealand",37100,79,75,33,58,22,49,35.6150793650794
"Nigeria","Nigeria",5900,30,84,13,60,80,55,4.66269841269841
"Norway","Norway",69300,69,55,35,8,31,50,67.5595238095238
"Peru","Peru",13000,16,46,25,42,64,87,11.7063492063492
"Philippines","Philippines",7700,32,42,27,64,94,44,6.4484126984127
"Poland","Poland",27700,60,29,38,64,68,93,26.2896825396825
"Portugal","Portugal",28500,27,33,28,31,63,99,27.0833333333333
"Romania","Romania",22300,30,20,52,42,90,90,20.9325396825397
"Russia","Russia",26100,39,20,81,36,93,95,24.702380952381
"Saudi Arabia","Saudi Arabia",54100,25,52,36,60,95,80,52.4801587301587
"Serbia","Serbia",14200,25,28,52,43,86,92,12.8968253968254
"Singapore","Singapore",87100,20,46,72,48,74,8,85.218253968254
"Slovakia","Slovakia",31200,52,28,77,100,100,51,29.7619047619048
"Slovenia","Slovenia",32000,27,48,49,19,71,88,30.5555555555556
"South Africa","South Africa",13200,65,63,34,63,49,49,11.9047619047619
"South Korea","South Korea",37900,18,29,100,39,60,85,36.4087301587302
"Spain","Spain",36500,51,44,48,42,57,86,35.0198412698413
"Sweden","Sweden",49700,71,78,53,5,31,29,48.1150793650794
"Switzerland","Switzerland",59400,68,66,74,70,34,58,57.7380952380952
"Taiwan","Taiwan",46600,17,49,93,45,58,69,45.0396825396825
"Tanzania","Tanzania",3100,25,38,34,40,70,50,1.88492063492063
"Thailand","Thailand",16800,20,45,32,34,64,64,15.4761904761905
"Trinidad and Tobago","Trinidad and Tobago",31900,16,80,13,58,47,55,30.4563492063492
"Turkey","Turkey",21100,37,49,46,45,66,85,19.7420634920635
"Ukraine","Ukraine",8200,25,18,55,27,92,95,6.94444444444444
"United Kingdom","United Kingdom",42500,89,69,51,66,35,35,40.9722222222222
"United States","United States",57300,91,68,26,62,40,46,55.6547619047619
"Uruguay","Uruguay",21600,36,53,26,38,61,99,20.2380952380952
"Venezuela","Venezuela",15100,12,100,16,73,81,76,13.7896825396825
"Vietnam","Vietnam",6400,20,35,57,40,70,30,5.15873015873016
"Zambia","Zambia",3900,35,42,30,40,60,50,2.67857142857143
